"Date","Description","Debit","Credit","Balance"
"19 Mar 2025","Cyd Holding Pty Ltd South Brisbanau","$7.47","","+$1,185.72"
"19 Mar 2025","Transfer","$1,000.00","","+$185.72"
"20 Mar 2025","Amznprimeau Membership Sydney South AU","$9.99","","+$175.73"
"20 Mar 2025","Coles 4432 Taigum AU","$14.15","","+$161.58"
"20 Mar 2025","Coles 4547 Chermside AU","$2.25","","+$159.33"
"20 Mar 2025","McDonald's Virginia Virginia AU","$9.79","","+$149.54"
"20 Mar 2025","Coles 4547 Chermside AU","$2.47","","+$147.07"
"20 Mar 2025","Coles 4547 Chermside AU","$1.17","","+$145.90"
"21 Mar 2025","Indian Town Grocery Zillmere AU","$4.48","","+$141.42"
"21 Mar 2025","Coles 4547 Chermside AU","$2.61","","+$138.81"
"21 Mar 2025","Amazon Marketplace AU Sydney South AU","$10.82","","+$127.99"
"21 Mar 2025","Westfield Chermside Chermside AU","$12.00","","+$115.99"
"21 Mar 2025","Be Uplifted Boondall Boondall AU","$21.32","","+$94.67"
"21 Mar 2025","Sushi Hub Chermside Chermside AU","$8.91","","+$85.76"
"22 Mar 2025","Openai *Chatgpt Subscr Openai.com Us","$34.82","","+$50.94"
"22 Mar 2025","Virginia Boondall AU","$3.50","","+$47.44"
"22 Mar 2025","Banh Mi Geebung Virginia AU","$35.07","","+$12.37"
"23 Mar 2025","Westfield Chermside Chermside AU","$5.00","","+$7.37"
"23 Mar 2025","McDonald's 950332 Virginia AU","$6.25","","+$1.12"
"25 Mar 2025","Transfer","","$170.00","+$171.12"
"25 Mar 2025","Coles 4547 Chermside AU","$168.71","","+$2.41"
"25 Mar 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$625.87","+$628.28"
"25 Mar 2025","Transfer","$478.00","","+$150.28"
"27 Mar 2025","Optus Prepaid Level 5 / 406au","$12.00","","+$138.28"
"28 Mar 2025","Coles 4547 Chermside AU","$2.61","","+$135.67"
"28 Mar 2025","Coles 4547 Chermside AU","$0.81","","+$134.86"
"28 Mar 2025","Transfer","","$200.00","+$334.86"
"28 Mar 2025","Jetstar Airways\jetstar-Bn719t\bn719t__3","$214.11","","+$120.75"
"28 Mar 2025","Jetstar Airways\jetstar-Bn719t\bn719t__3","$7.04","","+$113.71"
"29 Mar 2025","Westfield Chermside Chermside AU","$5.00","","+$108.71"
"30 Mar 2025","Adobe Sydney AU","$14.29","","+$94.42"
"30 Mar 2025","Chermside Butcher Chermside AU","$7.00","","+$87.42"
