"Date","Description","Debit","Credit","Balance"
"16 Jul 2025","Transfer","$300.00","","+$611.37"
"16 Jul 2025","Lady Harriets Raw Pre Brisbane Cityau","$7.64","","+$603.73"
"16 Jul 2025","Anaconda Mt Gravatt\mount Gravatt AU","$79.00","","+$524.73"
"16 Jul 2025","BP Holland Park 255\holland Park AU","$20.03","","+$504.70"
"16 Jul 2025","Liquorland 6639 Strathpine AU","$24.70","","+$480.00"
"16 Jul 2025","Payment to 062-948 32988572 Spencer","$19.50","","+$460.50"
"16 Jul 2025","Aldi Stores Taigum Qldau","$21.98","","+$438.52"
"16 Jul 2025","Donana Mini Hotpot Kelvin Grove Qldau","$38.57","","+$399.95"
"17 Jul 2025","Direct Credit ATO - Ato004000021176105","","$1,271.00","+$1,670.95"
"17 Jul 2025","McDonald's Helensvale Helensvale Qldau","$7.70","","+$1,663.25"
"17 Jul 2025","Optus Prepaid Melbourne AU","$13.00","","+$1,650.25"
"17 Jul 2025","Qut Parking Kelvin Grove AU","$17.00","","+$1,633.25"
"17 Jul 2025","Coles 4411 Strathpine AU","$160.98","","+$1,472.27"
"17 Jul 2025","Liquorland 6639 Strathpine AU","$18.90","","+$1,453.37"
"18 Jul 2025","KFC Taree Service Cent Taree Serviceau","$14.45","","+$1,438.92"
"18 Jul 2025","Boost Taree Taree AU","$8.80","","+$1,430.12"
"18 Jul 2025","McDonald's Kings Park Kings Park Nswau","$7.00","","+$1,423.12"
"19 Jul 2025","Service NSW Sydney AU","$14.00","","+$1,409.12"
"20 Jul 2025","Jiangs Yunnan R/shop 7a/1burwood AU","$4.57","","+$1,404.55"
"20 Jul 2025","Amznprimeau Membership Sydney South AU","$9.99","","+$1,394.56"
"20 Jul 2025","Amazon Marketplace AU Sydney South AU","$36.79","","+$1,357.77"
"20 Jul 2025","Payment from SUBIKSHA THIYAGARAJAN","","$10.00","+$1,367.77"
"21 Jul 2025","Sq *Mr Hotpoter Burwood Burwood AU","$24.37","","+$1,343.40"
"21 Jul 2025","Coles 0906 Campbelltown AU","$45.79","","+$1,297.61"
"21 Jul 2025","Pikes Day & Night Ph Burwood AU","$4.99","","+$1,292.62"
"21 Jul 2025","Joylands Sideshow Alle Austral AU","$15.35","","+$1,277.27"
"21 Jul 2025","Greenfield Tavern Greenfield Paau","$17.46","","+$1,259.81"
"21 Jul 2025","The Mall Newsagency Ca Campbelltown AU","$10.00","","+$1,249.81"
"21 Jul 2025","Cherri Cherri Pow Pow\","$97.50","","+$1,152.31"
"22 Jul 2025","United Berrima New Berrima AU","$7.50","","+$1,144.81"
"22 Jul 2025","BP Grnfld Prk 6333 Greenfield Paau","$25.00","","+$1,119.81"
"22 Jul 2025","Priceline Pharmacy Oran Park Oran Park AU","$27.48","","+$1,092.33"
"22 Jul 2025","Openai *Chatgpt Subscr Openai.com Us","$33.98","","+$1,058.35"
"22 Jul 2025","Metro Petroleum Coo Cooma AU","$1.99","","+$1,056.36"
"22 Jul 2025","Christies Seafood Pyrmont AU","$17.71","","+$1,038.65"
"22 Jul 2025","Eg Group/3 Dunk Place Oran Park AU","$7.00","","+$1,031.65"
"22 Jul 2025","Anaconda Campbelltown Campbelltown AU","$28.97","","+$1,002.68"
"22 Jul 2025","Androtis Cafe Pyrmont AU","$4.56","","+$998.12"
"22 Jul 2025","Christies Seafood Pyrmont AU","$6.07","","+$992.05"
"22 Jul 2025","BP Grnfld Prk 6333 Greenfield Paau","$11.79","","+$980.26"
"22 Jul 2025","Transportfornsw Tap Sydney AU","$9.65","","+$970.61"
"22 Jul 2025","Christies Seafood Pyrmont AU","$5.06","","+$965.55"
"22 Jul 2025","Wilson Parking Syd373 Leppington AU","$10.00","","+$955.55"
"22 Jul 2025","My Doctors (Burwood) P Burwood AU","$90.00","","+$865.55"
"22 Jul 2025","Payment to 734-008 764366 Matt","$5.50","","+$860.05"
"22 Jul 2025","Uber *Trip Help.uber.com\","$34.25","","+$825.80"
"22 Jul 2025","Refund From Uber *Trip Help.uber.com\","","$34.25","+$860.05"
"22 Jul 2025","Uber *Trip Help.uber.com\","$33.99","","+$826.06"
"22 Jul 2025","Refund From Uber *Trip Help.uber.com\","","$33.99","+$860.05"
"22 Jul 2025","Uber *Trip Help.uber.com\","$33.95","","+$826.10"
"22 Jul 2025","Refund From Uber *Trip Help.uber.com\","","$33.95","+$860.05"
"22 Jul 2025","Smiggins Hotel\smiggin Holes NSW AU","$16.18","","+$843.87"
"22 Jul 2025","Smiggins Hotel\smiggin Holes NSW AU","$12.13","","+$831.74"
"22 Jul 2025","Smiggins Hotel\smiggin Holes NSW AU","$9.10","","+$822.64"
"23 Jul 2025","Joylands Sideshow Alle Narellan AU","$3.04","","+$819.60"
"23 Jul 2025","Transportfornsw Tap Sydney AU","$9.65","","+$809.95"
"23 Jul 2025","S & C Lambert P/L Jindabyne AU","$25.00","","+$784.95"
"23 Jul 2025","Transfer","$300.00","","+$484.95"
"24 Jul 2025","S & C Lambert P/L Jindabyne AU","$45.00","","+$439.95"
"24 Jul 2025","Sq *Uniting Church Alpinejindabyne AU","$35.00","","+$404.95"
"24 Jul 2025","Woolworths/nuggets Crossijindabyne AU","$12.50","","+$392.45"
"24 Jul 2025","Sq *Uniting Church Alpinejindabyne AU","$2.20","","+$390.25"
"24 Jul 2025","Optus Prepaid Melbourne AU","$13.00","","+$377.25"
"24 Jul 2025","Smiggins Hotel\smiggin Holes NSW AU","$10.11","","+$367.14"
"25 Jul 2025","Smiggins Hotel Smiggin Holesau","$19.21","","+$347.93"
"26 Jul 2025","Smiggins Hotel Smiggin Holesau","$12.13","","+$335.80"
"27 Jul 2025","Kosciuszko Tourist Par Jindabyne AU","$4.00","","+$331.80"
"27 Jul 2025","Ballimino S Glenbrook Glenbrook AU","$23.12","","+$308.68"
"27 Jul 2025","Smiggins Hotel Smiggin Holesau","$8.00","","+$300.68"
"27 Jul 2025","Transfer","","$150.00","+$450.68"
"27 Jul 2025","ATM Withdrawal Bcu - Woolgoolga 1 Woolgoolga AU","$200.00","","+$250.68"
"27 Jul 2025","ATM Direct Charge","$2.00","","+$248.68"
"28 Jul 2025","Hipcamp Booking Moruya AU","$59.47","","+$189.21"
"28 Jul 2025","Sq *La Hacienda 101 Woolgoolga AU","$40.07","","+$149.14"
"29 Jul 2025","BP Jindabyne 1221 Jindabyne AU","$12.60","","+$136.54"
"29 Jul 2025","Qut Parking Kelvin Grove AU","$8.50","","+$128.04"
"29 Jul 2025","Kinatico Ltd Osborne Park AU","$64.80","","+$63.24"
"29 Jul 2025","BP Bulahdelah 7653 Bulahdelah AU","$13.49","","+$49.75"
"29 Jul 2025","Foodworks Glenbrook Glenbrook AU","$8.78","","+$40.97"
"29 Jul 2025","Qut Parking Kelvin Grove AU","$9.50","","+$31.47"
"29 Jul 2025","BP Bulahdelah 7653 Bulahdelah AU","$6.00","","+$25.47"
"30 Jul 2025","McDonald's BP Ballina Ballina AU","$15.55","","+$9.92"
"30 Jul 2025","McDonald's Milton Roa Milton AU","$0.50","","+$9.42"
"30 Jul 2025","Transfer","","$50.00","+$59.42"
"31 Jul 2025","Woolworths/39 Musk Avenuekelvin Grove AU","$3.50","","+$55.92"
"31 Jul 2025","Qut Parking Kelvin Grove AU","$6.00","","+$49.92"
"31 Jul 2025","Sushi Hub Chermside Chermside AU","$7.65","","+$42.27"
"31 Jul 2025","Optus Prepaid Melbourne AU","$13.00","","+$29.27"
"31 Jul 2025","Sq *Yozo Kelvin Grove AU","$12.19","","+$17.08"
"31 Jul 2025","Qut Parking Kelvin Grove AU","$8.50","","+$8.58"
"31 Jul 2025","Transfer","","$20.00","+$28.58"
