"Date","Description","Debit","Credit","Balance"
"10 Aug 2025","Translink Smartticket QLD AU","$0.50","","+$211.80"
"10 Aug 2025","Woolworths/39 Musk Avenuekelvin Grove AU","$4.50","","+$207.30"
"10 Aug 2025","Coles 4547 Chermside AU","$3.87","","+$203.43"
"11 Aug 2025","Sq *Yozo Kelvin Grove AU","$9.55","","+$193.88"
"11 Aug 2025","Translink Smartticket QLD AU","$0.50","","+$193.38"
"11 Aug 2025","Payment from QLD UNIVERSITY OF TECHNOL","","$680.00","+$873.38"
"11 Aug 2025","Payment from QLD UNIVERSITY OF TECHNOL","","$18.00","+$891.38"
"11 Aug 2025","Transfer","$700.00","","+$191.38"
"12 Aug 2025","Coles 4547 Chermside AU","$1.42","","+$189.96"
"12 Aug 2025","Chermside Butcher Chermside AU","$6.00","","+$183.96"
"12 Aug 2025","Coles 4547 Chermside AU","$13.96","","+$170.00"
"12 Aug 2025","Qut Parking Kelvin Grove AU","$10.00","","+$160.00"
"12 Aug 2025","Apple.com/bill Sydney AU","$4.49","","+$155.51"
"12 Aug 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$693.50","+$849.01"
"13 Aug 2025","Maple Lane Cafe Taigum AU","$49.00","","+$800.01"
"13 Aug 2025","Kmart 1159 Chermside AU","$0.15","","+$799.86"
"13 Aug 2025","Coles 4547 Chermside AU","$42.65","","+$757.21"
"13 Aug 2025","Kmart 1159 Chermside AU","$3.00","","+$754.21"
"13 Aug 2025","Kmart 1159 Chermside AU","$1.50","","+$752.71"
"13 Aug 2025","Chatime Chermside Chermside AU","$3.75","","+$748.96"
"13 Aug 2025","Kmart 1159 Chermside AU","$30.00","","+$718.96"
"13 Aug 2025","Kmart 1159 Chermside AU","$0.20","","+$718.76"
"13 Aug 2025","Transfer","$300.00","","+$418.76"
"14 Aug 2025","Coles 4547 Chermside AU","$3.09","","+$415.67"
"14 Aug 2025","Optus Prepaid Melbourne AU","$13.00","","+$402.67"
"14 Aug 2025","Coles 4547 Chermside AU","$4.18","","+$398.49"
"14 Aug 2025","Kernels Popcorn Chermside AU","$10.14","","+$388.35"
"15 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$383.35"
"15 Aug 2025","Sushi Hub Chermside Chermside AU","$4.14","","+$379.21"
"15 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$374.21"
"16 Aug 2025","Sq *Grove Juice Herston AU","$3.50","","+$370.71"
"16 Aug 2025","Sq *Toaste Boy 3rd Store Bowen Hills AU","$3.55","","+$367.16"
"16 Aug 2025","McDonald's Virginia Virginia AU","$9.90","","+$357.26"
"16 Aug 2025","Coles 4670 Aspley AU","$12.35","","+$344.91"
"16 Aug 2025","McDonald's Virginia Virginia AU","$12.50","","+$332.41"
"16 Aug 2025","Hungry Jacks Boondall AU","$7.80","","+$324.61"
"16 Aug 2025","Kmart 1218 Aspley AU","$7.00","","+$317.61"
"16 Aug 2025","Brisbane Showgrounds Brisbane AU","$10.45","","+$307.16"
"16 Aug 2025","McDonald's Virginia Virginia AU","$1.00","","+$306.16"
"17 Aug 2025","Brisbane Showgrounds Brisbane AU","$28.72","","+$277.44"
"17 Aug 2025","Zarraffas Coffee Boond Boondall AU","$5.20","","+$272.24"
"17 Aug 2025","Coles 4547 Chermside AU","$4.27","","+$267.97"
"17 Aug 2025","Coles 4547 Chermside AU","$3.09","","+$264.88"
"17 Aug 2025","Coles 4547 Chermside AU","$1.42","","+$263.46"
"19 Aug 2025","The Royal National A Bowen Hills AU","$13.60","","+$249.86"
"19 Aug 2025","Sushi Hub Chermside Chermside AU","$12.87","","+$236.99"
"19 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$231.99"
"19 Aug 2025","McDonald's Virginia Virginia AU","$7.90","","+$224.09"
"19 Aug 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$628.34","+$852.43"
"20 Aug 2025","Amznprimeau Membership Sydney South AU","$9.99","","+$842.44"
"20 Aug 2025","Salvos Stores Molendinar AU","$4.00","","+$838.44"
"20 Aug 2025","Reddy Express 1870 Banyo AU","$34.97","","+$803.47"
"20 Aug 2025","Woolworths/nexus Way Southport AU","$5.10","","+$798.37"
"20 Aug 2025","Transfer","$300.00","","+$498.37"
"20 Aug 2025","Coles 4432 Taigum AU","$102.00","","+$396.37"
"21 Aug 2025","Qut Parking Kelvin Grove AU","$6.00","","+$390.37"
"21 Aug 2025","Coles 4547 Chermside AU","$1.42","","+$388.95"
"21 Aug 2025","McDonald's Virginia Virginia AU","$10.49","","+$378.46"
"21 Aug 2025","Woolworths/39 Musk Avenuekelvin Grove AU","$7.00","","+$371.46"
"21 Aug 2025","Optus Prepaid Melbourne AU","$13.00","","+$358.46"
"21 Aug 2025","Jj&dh Pty Ltd Southport AU","$19.34","","+$339.12"
"21 Aug 2025","Jl Food Pty Ltd Mitchelton AU","$3.03","","+$336.09"
"21 Aug 2025","Coles 4547 Chermside AU","$1.42","","+$334.67"
"21 Aug 2025","7-Eleven 4221 Taigum AU","$5.50","","+$329.17"
"21 Aug 2025","Black Noir Collective\","$41.00","","+$288.17"
"21 Aug 2025","Transfer","","$400.00","+$688.17"
"21 Aug 2025","Payment to 064-473 10420896 Jess","$322.00","","+$366.17"
"22 Aug 2025","Australian Vending Compantullamarine AU","$3.00","","+$363.17"
"22 Aug 2025","Sushi Hub Chermside Chermside AU","$5.60","","+$357.57"
"22 Aug 2025","7-Eleven 4221 Taigum AU","$98.54","","+$259.03"
"22 Aug 2025","Openai *Chatgpt Subscr Openai.com Us","$34.12","","+$224.91"
"22 Aug 2025","Sushi Hub Chermside Chermside AU","$4.14","","+$220.77"
"22 Aug 2025","Bws/1/27 George Street Sogeorge St Sthau","$31.00","","+$189.77"
"23 Aug 2025","QLD Uni Tech Guild Brisbane Adelau","$7.60","","+$182.17"
"23 Aug 2025","Qut Parking Kelvin Grove AU","$8.50","","+$173.67"
"23 Aug 2025","Metro Sandgate - Instore Sandgate AU","$5.03","","+$168.64"
"23 Aug 2025","Shandiz Group Pty Ltd Surfers Paradau","$30.50","","+$138.14"
"23 Aug 2025","Metro Sandgate - Instore Sandgate AU","$8.00","","+$130.14"
"23 Aug 2025","Coles 4547 Chermside AU","$9.50","","+$120.64"
"23 Aug 2025","Coles 4547 Chermside AU","$3.09","","+$117.55"
"23 Aug 2025","Coles 4547 Chermside AU","$0.76","","+$116.79"
"23 Aug 2025","QLD Uni Tech Guild Brisbane Adelau","$21.60","","+$95.19"
"23 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$90.19"
"23 Aug 2025","Sunlit Asian Supermar South Brisbanau","$9.76","","+$80.43"
"23 Aug 2025","Transfer","","$200.00","+$280.43"
"24 Aug 2025","Bws/chermside S/c-Shp 202chermside AU","$59.00","","+$221.43"
"24 Aug 2025","Coles 4547 Chermside AU","$0.24","","+$221.19"
"24 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$216.19"
"24 Aug 2025","Translink Ticketing QLD AU","$1.00","","+$215.19"
"24 Aug 2025","Coles 4547 Chermside AU","$1.42","","+$213.77"
"25 Aug 2025","Refund From Bws/chermside S/c-Shp 202chermside AU","","$59.00","+$272.77"
"25 Aug 2025","Coles 4547 Chermside AU","$1.42","","+$271.35"
"25 Aug 2025","Coles 4547 Chermside AU","$9.66","","+$261.69"
"25 Aug 2025","Shein Aus Melbourne AU","$113.19","","+$148.50"
"25 Aug 2025","Coles 4547 Chermside AU","$1.42","","+$147.08"
"25 Aug 2025","7-Eleven 4300 Bracken Ridgeau","$14.50","","+$132.58"
"26 Aug 2025","Qut Parking Kelvin Grove AU","$10.00","","+$122.58"
"26 Aug 2025","Qut Parking Kelvin Grove AU","$9.50","","+$113.08"
"26 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$108.08"
"26 Aug 2025","Sushi Hub Chermside Chermside AU","$10.80","","+$97.28"
"26 Aug 2025","McDonald's Virginia Virginia AU","$10.49","","+$86.79"
"26 Aug 2025","Sushi Hub Chermside Chermside AU","$9.00","","+$77.79"
"26 Aug 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$737.73","+$815.52"
"27 Aug 2025","McDonald's Caboolt NT Burpengary AU","$9.00","","+$806.52"
"27 Aug 2025","Chermside Butcher Chermside AU","$6.00","","+$800.52"
"27 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$795.52"
"27 Aug 2025","Transfer","$300.00","","+$495.52"
"28 Aug 2025","Coles 4547 Chermside AU","$3.56","","+$491.96"
"28 Aug 2025","Optus Prepaid Melbourne AU","$13.00","","+$478.96"
"29 Aug 2025","Sushi Hub Chermside Chermside AU","$4.14","","+$474.82"
"29 Aug 2025","Sushi Hub Chermside Chermside AU","$16.56","","+$458.26"
"29 Aug 2025","Coles 4547 Chermside AU","$5.70","","+$452.56"
"29 Aug 2025","Coles 4547 Chermside AU","$1.42","","+$451.14"
"30 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$446.14"
"30 Aug 2025","Adobe Sydney AU","$14.29","","+$431.85"
"31 Aug 2025","Liquorland 6174 Burpengary AU","$48.26","","+$383.59"
"31 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$378.59"
