"Date","Description","Debit","Credit","Balance"
"24 Oct 2025","Smp*bargain Mania Kelf0 Kelvin Grove AU","$6.09","","+$225.56"
"25 Oct 2025","Aldi Stores Taigum AU","$9.71","","+$215.85"
"25 Oct 2025","Woolworths/39 Musk Avenuekelvin Grove AU","$7.56","","+$208.29"
"25 Oct 2025","Transfer","","$200.00","+$408.29"
"26 Oct 2025","Coles 4432 Taigum AU","$27.55","","+$380.74"
"26 Oct 2025","7-Eleven 4221 Taigum AU","$89.24","","+$291.50"
"27 Oct 2025","Coles 4432 Taigum AU","$8.45","","+$283.05"
"27 Oct 2025","Veeram Pty Ltd Surfers Paradau","$4.04","","+$279.01"
"27 Oct 2025","Harvest Buffet Gold Broadbeach AU","$181.24","","+$97.77"
"27 Oct 2025","Veeram Pty Ltd Surfers Paradau","$4.14","","+$93.63"
"28 Oct 2025","Zk Kebab Zillmere AU","$14.04","","+$79.59"
"28 Oct 2025","Sunlit Asian Superma Kelvin Grove AU","$5.98","","+$73.61"
"28 Oct 2025","7-Eleven 4034 Zillmere AU","$3.50","","+$70.11"
"29 Oct 2025","Coles 4547 Chermside AU","$11.07","","+$59.04"
"29 Oct 2025","Qut Parking Kelvin Grove AU","$9.00","","+$50.04"
"29 Oct 2025","Woolworths/39 Musk Avenuekelvin Grove AU","$7.75","","+$42.29"
"29 Oct 2025","McDonald's Virginia Virginia AU","$6.99","","+$35.30"
"30 Oct 2025","Qut Parking Kelvin Grove AU","$13.00","","+$22.30"
"30 Oct 2025","Qut Bkshp Cafe Brisbane Cityau","$2.04","","+$20.26"
"31 Oct 2025","Donana Mini Hotpot Kelvin Grove AU","$19.79","","+$0.47"
"31 Oct 2025","Transfer","","$200.00","+$200.47"
